,AGOP,PCA,MI,SHAP
cat__HeatingQC_Po,0.00021876418,7.87722891264557e-06,0.006213540930274819,0.0
cat__HouseStyle_1.5Unf,0.00019899238,6.659659185704743e-05,0.009776812833206971,0.41452322345880216
cat__RoofStyle_Shed,0.00019098869,1.1913823538514013e-07,0.0,0.0
cat__MSSubClass_45,0.00015819145,5.190423914322647e-05,0.0036170839214784145,1.1050255244009592
cat__Exterior1st_Stone,0.00015763099,1.4439999968220363e-08,0.0074481890307219745,0.576211668807062
cat__Neighborhood_Blueste,0.00014502075,3.412239182811729e-07,0.002828799332099341,0.18919609731734896
cat__HouseStyle_2.5Fin,0.0001445474,5.629541178487724e-06,0.004071599344353194,0.5592866188641876
cat__Exterior1st_AsphShn,0.00010742008,1.1534879566412215e-05,0.002375076151327815,0.0
cat__GarageQual_Po,8.196135e-05,1.4612934068516095e-05,0.0023877858647542993,0.0980988156392646
cat__Condition2_Artery,8.072189e-05,8.685150751259924e-06,0.010730147196631012,0.6914260666381036
cat__Condition2_RRAn,7.7958415e-05,3.3913345492725663e-07,0.012256320640778418,0.0
