,AGOP,PCA,MI,SHAP,Perm
num__OpenPorchSF,0.1765764,0.0002723345390669,0.1639620092766538,930.661319973602,62304198.4
num__ScreenPorch,0.16189826,2.129677073186489e-06,0.0088931465686905,618.5151091787958,42123993.6
num__BsmtFullBath,0.15991504,0.0001498624662356,0.015673850741438,2268.635333261984,59724665.6
cat__Functional_Typ,0.15983331,0.0001200916113654,0.0207471688732974,509.18916468678646,7486366.4
num__BedroomAbvGr,0.15787567,3.876720208905187e-07,0.0571323838728226,1687.2702501783667,90361008.0
cat__BsmtQual_Ex,0.15670508,0.0005977356301588,0.107056852248671,855.912760987443,31591732.8
cat__Foundation_PConc,0.1541223,0.0015063295705196,0.1784588620078742,1891.987203767124,31784012.8
cat__MSZoning_RM,0.15266806,0.0005241299956109,0.099642431421566,884.8056838969744,8183288.0
cat__Foundation_CBlock,0.1486747,0.0004737019536371,0.0927173375509557,1625.3598322274545,22663600.0
num__BsmtFinSF2,0.14519173,7.510547544518453e-06,0.0030794861110166,737.068888127854,21320449.6
cat__BsmtExposure_No,0.13719635,0.000180217614848,0.0136432169220341,1375.6175487478597,34062816.0
num__MasVnrArea,0.13397492,0.0006268669532333,0.069675520338766,1289.8599740653538,87875216.0
num__BsmtHalfBath,0.13344769,1.0392310654971507e-05,0.0,241.52806385559344,7578385.6
cat__BsmtFinType1_GLQ,0.123419404,0.0008657952686354,0.1082988935261071,1245.907816210046,18425332.8
num__GarageArea,0.12268002,0.0014146285248959,0.3698075719644542,1537.5178352597022,73921728.0
cat__Exterior1st_BrkFace,0.12181105,1.3587736216491215e-05,0.0,149.46353415739148,3521827.2
cat__Alley_Pave,0.11516523,3.5791572547197964e-06,0.0130310956599142,114.50126088042214,827174.4
cat__Condition1_Artery,0.11422816,0.0001203192590408,0.0178746612530378,192.6009755458049,1609334.4
cat__LandContour_HLS,0.112425774,1.906223063215059e-05,0.0119335353390901,209.25496370219733,6173510.4
cat__BsmtQual_Gd,0.105036214,0.0008233716892239,0.1526898707951471,480.9119122966613,21293084.8
cat__SaleType_New,0.10289334,0.000558589319562,0.0552871972551143,524.5120944099602,18333036.8
cat__SaleCondition_Partial,0.100868925,0.0005629379909784,0.0659749295403129,561.4662427404394,18112577.6
cat__KitchenQual_Ex,0.09962324,0.0003941277069477,0.0900231978861305,473.53800151612415,23878956.8
cat__Condition1_Norm,0.09886715,7.510053808819734e-05,0.004744330532747,761.5072166095891,3085800.0
cat__LotShape_Reg,0.09241408,0.0002694072360146,0.0822741800669599,907.9073655108446,16410044.8
cat__LandContour_Lvl,0.09091899,2.9806504131647183e-05,0.0190819382492588,450.3092681399826,13683702.4
cat__Neighborhood_StoneBr,0.09070978,7.98226029231768e-05,0.0128433471115261,133.3133005136983,6178403.2
cat__Neighborhood_Somerst,0.08937033,0.0001802966234004,0.0350090999401411,664.3973941388417,2314408.0
cat__HeatingQC_TA,0.08263043,0.0005628326511161,0.1075300650110955,686.2734292594172,6559416.0
cat__Alley_None,0.081825174,0.0002059237550944,0.0139614327718515,143.69294570490868,1039070.4
cat__MSZoning_RL,0.08175969,0.0003220246866006,0.054932486718259,587.2948200627856,3983483.2
num__KitchenAbvGr,0.08164882,0.0001977547351703,0.0210155047238544,928.0976904787394,32966969.6
cat__BsmtCond_Fa,0.07920881,0.000192037529078,0.0218129025966113,111.50210416666658,920891.2
num__GarageYrBlt,0.07816662,0.0016487477583746,0.2727891524243495,1068.3995904323633,45923584.0
cat__BsmtQual_TA,0.07678445,0.0011665365240117,0.1780309201712089,1188.0525226883562,15241739.2
cat__LotConfig_CulDSac,0.07526079,6.95051179112457e-05,0.0296927735117711,238.1304160423803,6406777.6
cat__ExterQual_Ex,0.07486344,0.0002805321066977,0.0627970793856977,190.47896848244872,15925086.4
num__YrSold,0.07094168,1.1255000153457094e-09,0.0165402116346187,554.9251448523117,25394204.8
cat__MSSubClass_30,0.069648385,0.0002815393950011,0.059243690036568,225.6631510059932,884784.0
cat__GarageFinish_Unf,0.06550042,0.0010182995214073,0.1479203937880449,785.933304348601,6177694.4
cat__BsmtCond_TA,0.06342162,0.0001466112961815,0.0,243.32280013912643,2107809.6
cat__SaleType_COD,0.06228999,1.7772701573962992e-05,0.0074322894997338,91.58012357305934,911286.4
cat__SaleType_WD,0.061443135,0.0002488342724374,0.0295327620811254,483.1310565068496,13635403.2
cat__HeatingQC_Ex,0.05983416,0.0010991634878242,0.1265706295838014,729.8760006777965,11318614.4
cat__BsmtFinType1_Unf,0.0580951,3.2397822941682345e-06,0.0014351467323354,458.9164456870717,3214441.6
cat__GarageFinish_RFn,0.05533304,0.0003949161341351,0.0745172490264085,617.8811523080765,3508168.0
cat__KitchenQual_TA,0.053553216,0.0011050591529536,0.1950755766226735,773.7420944456336,14947915.2
cat__Neighborhood_NAmes,0.050484028,0.0001053529294309,0.0596298999262592,351.5980634810214,6857654.4
num__BsmtUnfSF,0.05033097,0.0002512749777869,0.1446405219612776,1224.892729666096,40704476.8
num__EnclosedPorch,0.049623936,0.0002586391021662,0.0216920542045988,288.73946079480567,9169099.2
num__MoSold,0.049371034,3.872371500304639e-06,0.0,424.24747977311625,14849345.6
num__Id,0.049091555,5.483064030264058e-07,0.0091958587752958,368.90893166738,18075462.4
cat__SaleCondition_Abnorml,0.048962615,4.801238613269739e-05,0.0152720771964653,203.55367062642688,3250931.2
cat__MSSubClass_70,0.047197267,0.0001208980115459,0.0012471771906337,110.1847473066497,1638720.0
cat__BldgType_1Fam,0.04713749,6.99829675616055e-06,0.0263956152215616,564.7274474172374,7486288.0
cat__MSZoning_FV,0.046121046,0.0001046325904126,0.036906533980102,352.7375700984589,1360380.8
cat__ExterQual_TA,0.044741243,0.0015652533343313,0.2459477191665431,724.093038384704,14579302.4
cat__KitchenQual_Gd,0.04447215,0.0008617094233774,0.1441206042947169,362.2603606414093,10291233.6
cat__MSSubClass_160,0.044068933,8.701896192408018e-07,0.0278285185347759,219.9548880029968,1683987.2
