model,test_rmse,test_r2,cv_rmse,tuning_time_s,dataset
XGBoost,9.083586863015647,0.9286454973346155,10.249855691882942,29.58958673477173,superconductivity
MLP,12.206809043884277,0.8711421489715576,12.585177421569824,533.8187873363495,superconductivity
